Method,Mean Accuracy,Std Accuracy,Mean Features,Std Features,Runs
CluMarPareto,0.7222222222222222,0.04140866624999612,5.75,1.299038105676658,4
NSGA2 Standalone,0.7555555555555555,0.021596118129056683,8.0,2.0,5
IAMB + NSGA2,0.7185185185185186,0.06666666666666664,6.2,1.6,5
IAMB Only,0.7370370370370369,0.04743054990691,27.0,1.0954451150103321,5
RF Importance,0.7333333333333333,0.044752022124424314,17.4,1.4966629547095764,5
LASSO,0.7333333333333334,0.039890109682477796,7.2,1.7204650534085255,5
